PlayKey,time,event,x,y,dir,dis,o,s
43540-3-15,30.5,,35.81,22.59,224.67,0.1,126.3,1.0
43540-3-15,30.6,,35.74,22.51,224.23,0.1,125.95,0.99
43540-3-15,30.7,,35.67,22.45,224.11,0.1,125.23,0.97
43540-3-15,30.8,,35.59,22.38,223.53,0.1,124.37,0.94
43540-3-15,30.9,,35.52,22.31,222.26,0.1,123.38,0.92
43540-3-15,31.0,,35.46,22.25,220.32,0.09,122.62,0.89
43540-3-15,31.1,,35.39,22.19,218.39,0.09,122.21,0.87
43540-3-15,31.2,,35.32,22.12,217.91,0.1,122.04,0.85
43540-3-15,31.3,,35.26,22.05,217.23,0.1,121.9,0.8
43540-3-15,31.4,,35.2,21.98,215.85,0.09,121.84,0.76
43540-3-15,31.5,,35.16,21.92,214.26,0.08,122.02,0.72
43540-3-15,31.6,,35.12,21.86,213.45,0.07,122.43,0.67
43540-3-15,31.7,,35.08,21.8,212.48,0.07,123.04,0.63
43540-3-15,31.8,,35.06,21.75,212.25,0.06,124.2,0.58
43540-3-15,31.9,,35.04,21.68,211.82,0.07,125.97,0.53
43540-3-15,32.0,,35.02,21.61,211.25,0.07,128.18,0.48
43540-3-15,32.1,,35.01,21.55,211.33,0.06,130.61,0.42
43540-3-15,32.2,,35.01,21.52,212.5,0.04,133.17,0.35
43540-3-15,32.3,,35.01,21.48,214.8,0.04,135.78,0.28
43540-3-15,32.4,,35.01,21.44,220.13,0.04,138.42,0.23
43540-3-15,32.5,,35.0,21.43,228.25,0.02,141.09,0.18
43540-3-15,32.6,,34.98,21.43,241.23,0.02,143.64,0.14
43540-3-15,32.7,,34.97,21.43,257.0,0.02,145.99,0.12
43540-3-15,32.8,,34.95,21.44,279.89,0.02,148.32,0.12
43540-3-15,32.9,,34.94,21.45,299.82,0.02,150.68,0.14
43540-3-15,33.0,,34.93,21.47,311.7,0.03,152.96,0.17
43540-3-15,33.1,,34.92,21.51,316.38,0.04,155.16,0.21
43540-3-15,33.2,,34.91,21.56,318.29,0.05,157.44,0.25
43540-3-15,33.3,,34.89,21.6,319.36,0.05,159.9,0.3
43540-3-15,33.4,,34.88,21.64,319.48,0.04,162.57,0.32
43540-3-15,33.5,,34.86,21.67,319.37,0.04,165.46,0.35
43540-3-15,33.6,,34.84,21.7,319.8,0.03,168.57,0.38
43540-3-15,33.7,,34.83,21.72,320.94,0.03,171.92,0.41
43540-3-15,33.8,,34.8,21.74,322.11,0.03,175.52,0.44
43540-3-15,33.9,,34.78,21.76,322.26,0.04,179.32,0.47
43540-3-15,34.0,,34.74,21.79,322.8,0.04,183.2,0.49
43540-3-15,34.1,,34.71,21.82,323.47,0.05,187.21,0.51
43540-3-15,34.2,,34.67,21.85,324.52,0.05,191.36,0.53
43540-3-15,34.3,,34.62,21.88,325.64,0.05,195.68,0.54
43540-3-15,34.4,,34.57,21.91,326.83,0.06,200.03,0.56
43540-3-15,34.5,,34.53,21.95,328.24,0.06,204.23,0.59
43540-3-15,34.6,,34.49,22.01,329.65,0.07,208.04,0.62
43540-3-15,34.7,,34.45,22.07,331.23,0.07,211.38,0.64
43540-3-15,34.8,,34.41,22.14,332.36,0.08,214.23,0.66
43540-3-15,34.9,,34.38,22.22,333.54,0.09,216.62,0.67
43540-3-15,35.0,,34.36,22.3,334.77,0.08,218.58,0.69
43540-3-15,35.1,,34.35,22.38,336.2,0.08,220.08,0.71
43540-3-15,35.2,,34.33,22.45,337.67,0.08,221.28,0.73
43540-3-15,35.3,,34.3,22.52,339.06,0.08,222.09,0.74
43540-3-15,35.4,,34.28,22.6,339.97,0.08,222.39,0.75
43540-3-15,35.5,,34.27,22.68,340.54,0.08,222.03,0.76
43540-3-15,35.6,,34.25,22.75,341.33,0.07,221.03,0.77
43540-3-15,35.7,,34.23,22.81,342.67,0.07,219.7,0.77
43540-3-15,35.8,,34.2,22.88,343.21,0.07,218.39,0.76
43540-3-15,35.9,,34.18,22.94,343.41,0.07,217.27,0.75
43540-3-15,36.0,,34.15,23.02,343.86,0.08,216.08,0.75
43540-3-16,0.0,huddle_start_offense,33.66,27.41,59.58,0.02,288.48,0.19
43540-3-16,0.1,,33.63,27.44,71.34,0.04,290.29,0.21
43540-3-16,0.2,,33.68,27.44,78.18,0.06,292.96,0.25
43540-3-16,0.3,,33.78,27.43,84.82,0.09,296.29,0.29
43540-3-16,0.4,,33.87,27.41,89.48,0.09,300.13,0.33
43540-3-16,0.5,,33.94,27.42,92.56,0.07,304.4,0.34
43540-3-16,0.6,,33.99,27.43,94.47,0.05,309.57,0.32
43540-3-16,0.7,,34.05,27.42,96.66,0.06,315.49,0.32
43540-3-16,0.8,,34.1,27.4,99.75,0.06,321.68,0.27
43540-3-16,0.9,,34.12,27.37,105.32,0.04,327.56,0.24
43540-3-16,1.0,,34.16,27.36,108.63,0.04,331.64,0.25
43540-3-16,1.1,,34.22,27.37,104.4,0.06,333.33,0.23
43540-3-16,1.2,,34.24,27.37,98.34,0.03,333.12,0.23
43540-3-16,1.3,,34.25,27.37,96.97,0.01,331.78,0.22
43540-3-16,1.4,,34.24,27.36,98.76,0.01,328.93,0.19
43540-3-16,1.5,,34.2,27.36,101.58,0.04,325.03,0.17
43540-3-16,1.6,,34.16,27.35,102.68,0.04,320.3,0.13
43540-3-16,1.7,,34.11,27.33,101.06,0.05,314.68,0.11
43540-3-16,1.8,,34.08,27.3,95.39,0.05,307.68,0.1
43540-3-16,1.9,,34.06,27.29,90.83,0.02,300.24,0.07
43540-3-16,2.0,,34.09,27.34,91.25,0.06,293.32,0.02
43540-3-16,2.1,,34.19,27.36,282.03,0.11,287.28,0.08
43540-3-16,2.2,,34.25,27.37,281.14,0.06,282.57,0.21
43540-3-16,2.3,,34.27,27.36,283.08,0.02,279.49,0.24
43540-3-16,2.4,,34.28,27.37,287.04,0.01,277.77,0.21
43540-3-16,2.5,,34.29,27.37,290.59,0.01,276.86,0.18
43540-3-16,2.6,,34.3,27.36,297.98,0.01,276.64,0.12
43540-3-16,2.7,,34.3,27.36,304.46,0.01,276.56,0.1
43540-3-16,2.8,,34.29,27.36,307.35,0.01,276.61,0.08
43540-3-16,2.9,,34.26,27.37,278.58,0.03,277.0,0.1
43540-3-16,3.0,,34.1,27.4,268.29,0.16,277.8,0.17
43540-3-16,3.1,,33.88,27.44,265.68,0.23,278.62,0.21
43540-3-16,3.2,,33.81,27.46,263.95,0.07,279.37,0.24
43540-3-16,3.3,,33.84,27.47,262.19,0.03,280.15,0.27
43540-3-16,3.4,,33.86,27.46,262.03,0.03,281.16,0.3
43540-3-16,3.5,,33.92,27.43,262.69,0.06,282.47,0.32
43540-3-16,3.6,,33.93,27.4,264.87,0.04,284.02,0.34
43540-3-16,3.7,,33.95,27.37,267.22,0.03,285.69,0.35
43540-3-16,3.8,,33.92,27.36,270.08,0.03,287.26,0.35
43540-3-16,3.9,,33.89,27.36,271.91,0.03,288.73,0.29
43540-3-16,4.0,,33.87,27.34,276.78,0.03,289.97,0.17
43540-3-16,4.1,,33.84,27.32,288.3,0.03,290.62,0.14
43540-3-16,4.2,,33.8,27.3,297.83,0.05,290.69,0.18
43540-3-16,4.3,,33.75,27.3,306.57,0.04,290.25,0.23
43540-3-16,4.4,,33.73,27.29,310.9,0.03,289.4,0.3
43540-3-16,4.5,,33.69,27.3,315.66,0.03,288.15,0.37
43540-3-16,4.6,,33.65,27.33,317.91,0.05,286.38,0.43
43540-3-16,4.7,,33.62,27.37,320.82,0.05,283.96,0.47
43540-3-16,4.8,huddle_break_offense,33.59,27.41,323.59,0.05,280.86,0.52
43540-3-16,4.9,,33.58,27.48,325.37,0.06,277.29,0.58
43540-3-16,5.0,,33.57,27.54,326.82,0.07,273.62,0.63
43540-3-16,5.1,,33.55,27.62,328.21,0.08,269.61,0.69
43540-3-16,5.2,,33.53,27.71,328.43,0.09,265.1,0.74
43540-3-16,5.3,,33.51,27.79,328.06,0.09,260.39,0.8
43540-3-16,5.4,,33.47,27.87,327.46,0.09,255.77,0.86
43540-3-16,5.5,,33.43,27.95,326.91,0.09,251.37,0.89
43540-3-16,5.6,,33.38,28.02,325.84,0.09,247.03,0.93
43540-3-16,5.7,,33.34,28.11,324.86,0.1,242.64,0.97
43540-3-16,5.8,,33.28,28.19,323.04,0.1,238.04,1.02
43540-3-16,5.9,,33.22,28.28,320.9,0.1,233.41,1.05
43540-3-16,6.0,,33.15,28.35,318.89,0.11,228.86,1.08
43540-3-16,6.1,,33.06,28.43,316.53,0.12,224.39,1.1
43540-3-16,6.2,,32.96,28.52,314.27,0.13,220.09,1.12
43540-3-16,6.3,,32.87,28.6,312.46,0.13,216.24,1.14
43540-3-16,6.4,,32.77,28.68,310.39,0.12,212.94,1.16
43540-3-16,6.5,,32.68,28.76,308.54,0.13,210.15,1.17
43540-3-16,6.6,,32.58,28.85,306.79,0.13,207.48,1.18
43540-3-16,6.7,,32.48,28.94,305.32,0.14,204.72,1.19
43540-3-16,6.8,,32.37,29.01,303.79,0.13,201.95,1.19
43540-3-16,6.9,,32.27,29.08,302.63,0.12,199.41,1.19
43540-3-16,7.0,,32.17,29.14,301.72,0.12,197.29,1.17
43540-3-16,7.1,,32.06,29.2,300.39,0.12,195.5,1.15
43540-3-16,7.2,,31.95,29.26,298.81,0.12,194.02,1.13
43540-3-16,7.3,,31.84,29.3,297.49,0.12,192.67,1.11
43540-3-16,7.4,,31.74,29.34,295.68,0.11,191.18,1.08
43540-3-16,7.5,,31.63,29.38,293.58,0.11,189.48,1.05
43540-3-16,7.6,,31.53,29.43,291.41,0.11,187.72,1.01
43540-3-16,7.7,,31.43,29.47,289.54,0.11,185.95,0.97
43540-3-16,7.8,,31.34,29.51,287.84,0.1,184.4,0.94
43540-3-16,7.9,,31.26,29.54,286.94,0.09,183.17,0.91
43540-3-16,8.0,,31.17,29.56,285.38,0.09,182.15,0.87
43540-3-16,8.1,,31.09,29.58,283.11,0.09,181.09,0.83
43540-3-16,8.2,,31.01,29.6,281.6,0.09,179.93,0.78
43540-3-16,8.3,,30.93,29.6,280.78,0.08,178.69,0.74
43540-3-16,8.4,,30.86,29.6,280.01,0.07,177.39,0.69
43540-3-16,8.5,,30.79,29.6,279.39,0.07,176.29,0.65
43540-3-16,8.6,,30.72,29.6,279.04,0.06,175.42,0.6
43540-3-16,8.7,,30.66,29.6,278.58,0.07,174.92,0.56
43540-3-16,8.8,,30.6,29.62,277.49,0.06,174.62,0.52
43540-3-16,8.9,,30.55,29.62,276.38,0.05,174.47,0.48
43540-3-16,9.0,,30.5,29.6,275.35,0.05,174.36,0.43
43540-3-16,9.1,,30.46,29.58,273.78,0.04,174.27,0.38
43540-3-16,9.2,,30.43,29.58,273.63,0.03,174.25,0.34
43540-3-16,9.3,,30.41,29.6,273.86,0.03,174.41,0.3
43540-3-16,9.4,,30.38,29.62,274.61,0.03,174.75,0.26
43540-3-16,9.5,,30.36,29.64,274.94,0.03,175.24,0.22
43540-3-16,9.6,,30.34,29.66,274.98,0.03,175.9,0.19
43540-3-16,9.7,,30.33,29.66,271.64,0.01,176.57,0.15
43540-3-16,9.8,,30.32,29.66,272.97,0.01,177.2,0.12
43540-3-16,9.9,,30.32,29.65,279.85,0.01,177.63,0.1
43540-3-16,10.0,,30.32,29.64,287.23,0.01,177.98,0.08
43540-3-16,10.1,,30.32,29.64,290.43,0.01,178.27,0.06
43540-3-16,10.2,line_set,30.32,29.64,287.04,0.0,178.48,0.05
43540-3-16,10.3,,30.32,29.64,273.3,0.0,178.62,0.03
43540-3-16,10.4,,30.32,29.63,239.39,0.0,178.69,0.02
43540-3-16,10.5,,30.32,29.63,203.39,0.0,178.68,0.02
43540-3-16,10.6,,30.32,29.63,188.72,0.0,178.62,0.02
43540-3-16,10.7,,30.33,29.63,178.89,0.0,178.52,0.02
43540-3-16,10.8,,30.33,29.63,166.57,0.0,178.36,0.02
43540-3-16,10.9,,30.33,29.62,162.03,0.0,178.18,0.01
43540-3-16,11.0,,30.33,29.62,166.54,0.0,178.04,0.01
43540-3-16,11.1,,30.33,29.62,172.59,0.0,177.93,0.01
43540-3-16,11.2,,30.33,29.62,176.56,0.0,177.86,0.01
43540-3-16,11.3,,30.33,29.62,183.14,0.0,177.83,0.01
43540-3-16,11.4,,30.33,29.62,192.71,0.0,177.85,0.01
43540-3-16,11.5,,30.33,29.62,208.53,0.0,177.93,0.01
43540-3-16,11.6,,30.33,29.62,231.87,0.0,178.07,0.0
43540-3-16,11.7,,30.32,29.62,251.81,0.0,178.27,0.0
43540-3-16,11.8,,30.32,29.62,266.73,0.0,178.5,0.0
43540-3-16,11.9,,30.32,29.62,276.3,0.0,178.78,0.01
43540-3-16,12.0,,30.32,29.62,282.79,0.0,179.09,0.01
43540-3-16,12.1,,30.32,29.62,285.72,0.0,179.42,0.01
43540-3-16,12.2,,30.32,29.62,282.98,0.0,179.76,0.0
43540-3-16,12.3,,30.32,29.62,283.93,0.0,180.08,0.0
43540-3-16,12.4,,30.32,29.62,296.56,0.0,180.39,0.0
43540-3-16,12.5,,30.32,29.62,330.97,0.0,180.66,0.0
43540-3-16,12.6,,30.32,29.62,12.44,0.0,180.9,0.0
43540-3-16,12.7,,30.32,29.62,34.08,0.0,181.1,0.0
43540-3-16,12.8,,30.32,29.62,43.44,0.0,181.26,0.01
43540-3-16,12.9,,30.32,29.62,47.99,0.0,181.38,0.01
43540-3-16,13.0,,30.32,29.62,56.07,0.0,181.46,0.01
43540-3-16,13.1,,30.32,29.62,61.7,0.0,181.51,0.01
43540-3-16,13.2,,30.32,29.62,63.55,0.0,181.51,0.01
43540-3-16,13.3,,30.32,29.62,65.6,0.0,181.48,0.01
43540-3-16,13.4,,30.32,29.62,64.54,0.0,181.43,0.01
43540-3-16,13.5,,30.33,29.62,65.32,0.0,181.36,0.02
43540-3-16,13.6,man_in_motion,30.33,29.63,69.8,0.0,181.29,0.02
43540-3-16,13.7,,30.33,29.63,76.46,0.0,181.22,0.02
43540-3-16,13.8,,30.33,29.63,83.34,0.0,181.16,0.02
43540-3-16,13.9,,30.34,29.63,92.2,0.0,181.12,0.03
43540-3-16,14.0,,30.34,29.63,105.94,0.0,181.11,0.07
43540-3-16,14.1,,30.34,29.63,112.41,0.0,181.13,0.25
43540-3-16,14.2,,30.34,29.63,111.94,0.0,181.2,0.5
43540-3-16,14.3,,30.34,29.63,111.16,0.0,181.33,0.75
43540-3-16,14.4,,30.35,29.64,109.08,0.0,181.94,0.95
43540-3-16,14.5,,30.35,29.63,106.97,0.0,185.49,1.1
43540-3-16,14.6,ball_snap,30.36,29.63,104.71,0.01,188.26,1.25
43540-3-16,14.7,,30.36,29.63,102.19,0.01,190.36,1.38
43540-3-16,14.8,,30.38,29.62,99.08,0.02,192.71,1.53
43540-3-16,14.9,,30.45,29.59,96.46,0.08,195.97,1.68
43540-3-16,15.0,,30.73,29.45,94.0,0.32,206.57,1.84
43540-3-16,15.1,,31.16,29.28,91.36,0.46,354.21,2.0
43540-3-16,15.2,,31.58,29.14,89.0,0.45,11.63,2.16
43540-3-16,15.3,,31.93,29.07,87.19,0.36,14.06,2.33
43540-3-16,15.4,,32.23,29.05,85.74,0.29,14.95,2.5
43540-3-16,15.5,,32.5,29.06,84.52,0.27,15.37,2.67
43540-3-16,15.6,,32.77,29.1,83.54,0.27,16.27,2.84
43540-3-16,15.7,handoff,33.05,29.2,82.72,0.3,21.14,2.99
43540-3-16,15.8,,33.34,29.29,81.84,0.31,25.7,3.11
43540-3-16,15.9,,33.64,29.4,80.0,0.32,28.88,3.12
43540-3-16,16.0,,33.94,29.55,77.64,0.33,31.1,3.05
43540-3-16,16.1,,34.23,29.7,75.5,0.33,32.63,2.98
43540-3-16,16.2,,34.53,29.84,74.44,0.33,33.86,2.92
43540-3-16,16.3,,34.84,29.97,74.2,0.33,34.9,2.88
43540-3-16,16.4,,35.14,30.09,74.47,0.33,36.18,2.84
43540-3-16,16.5,,35.43,30.2,75.32,0.31,37.71,2.77
43540-3-16,16.6,,35.71,30.3,76.84,0.29,39.81,2.69
43540-3-16,16.7,,35.98,30.38,78.52,0.28,42.31,2.6
43540-3-16,16.8,,36.26,30.43,80.66,0.28,44.6,2.5
43540-3-16,16.9,,36.52,30.46,83.48,0.27,46.5,2.39
43540-3-16,17.0,,36.78,30.48,86.72,0.25,48.04,2.29
43540-3-16,17.1,,37.01,30.48,90.13,0.23,49.99,2.18
43540-3-16,17.2,,37.22,30.46,93.85,0.21,52.75,2.06
43540-3-16,17.3,,37.42,30.43,97.96,0.2,55.79,1.96
43540-3-16,17.4,,37.6,30.37,102.44,0.19,58.53,1.87
43540-3-16,17.5,first_contact,37.77,30.3,107.32,0.18,61.06,1.79
43540-3-16,17.6,,37.92,30.22,112.14,0.17,63.59,1.72
43540-3-16,17.7,,38.07,30.13,116.94,0.17,65.9,1.65
43540-3-16,17.8,,38.22,30.04,121.94,0.17,67.82,1.59
43540-3-16,17.9,,38.34,29.94,127.19,0.16,69.43,1.54
43540-3-16,18.0,,38.45,29.83,132.32,0.15,71.22,1.5
43540-3-16,18.1,,38.54,29.72,137.11,0.15,73.1,1.47
43540-3-16,18.2,,38.64,29.6,141.73,0.15,74.99,1.46
43540-3-16,18.3,,38.72,29.48,145.81,0.15,76.41,1.44
43540-3-16,18.4,,38.79,29.34,149.69,0.15,77.26,1.42
43540-3-16,18.5,,38.85,29.21,153.38,0.15,77.91,1.41
43540-3-16,18.6,,38.91,29.08,156.99,0.14,78.65,1.4
43540-3-16,18.7,tackle,38.95,28.95,160.58,0.14,79.27,1.39
43540-3-16,18.8,,38.98,28.81,163.7,0.14,79.58,1.38
43540-3-16,18.9,,39.0,28.67,166.18,0.15,79.79,1.38
43540-3-16,19.0,,39.02,28.52,168.38,0.15,80.05,1.38
43540-3-16,19.1,,39.04,28.37,170.69,0.15,80.6,1.38
43540-3-16,19.2,,39.06,28.22,172.92,0.15,81.51,1.37
43540-3-16,19.3,,39.06,28.09,175.07,0.13,82.61,1.36
43540-3-16,19.4,,39.06,27.96,177.33,0.13,83.86,1.36
43540-3-16,19.5,,39.05,27.82,179.22,0.14,85.44,1.36
43540-3-16,19.6,,39.05,27.68,180.51,0.14,87.3,1.37
43540-3-16,19.7,,39.04,27.55,181.35,0.13,89.34,1.37
43540-3-16,19.8,,39.04,27.42,182.05,0.13,91.4,1.36
43540-3-16,19.9,,39.04,27.28,182.85,0.14,93.45,1.35
43540-3-16,20.0,,39.04,27.15,183.92,0.13,95.43,1.34
43540-3-16,20.1,,39.03,27.03,185.01,0.13,97.42,1.33
43540-3-16,20.2,,39.0,26.9,185.81,0.13,99.3,1.33
43540-3-16,20.3,,38.97,26.77,186.39,0.14,100.9,1.33
43540-3-16,20.4,,38.94,26.63,186.79,0.14,102.19,1.33
43540-3-16,20.5,,38.92,26.49,186.79,0.14,103.49,1.32
43540-3-16,20.6,,38.92,26.35,186.97,0.13,104.78,1.32
43540-3-16,20.7,,38.91,26.22,187.45,0.13,105.91,1.32
43540-3-16,20.8,,38.89,26.09,188.02,0.13,106.64,1.31
43540-3-16,20.9,,38.87,25.96,188.56,0.13,107.02,1.31
43540-3-16,21.0,,38.85,25.83,189.2,0.13,107.19,1.3
43540-3-16,21.1,,38.82,25.71,189.22,0.13,107.27,1.29
43540-3-16,21.2,,38.79,25.58,188.81,0.13,107.03,1.28
43540-3-16,21.3,,38.77,25.45,188.96,0.13,106.47,1.27
43540-3-16,21.4,,38.77,25.32,189.3,0.13,105.75,1.26
43540-3-16,21.5,,38.75,25.19,189.8,0.13,105.07,1.24
43540-3-16,21.6,,38.74,25.07,190.32,0.12,104.07,1.22
43540-3-16,21.7,,38.71,24.94,191.03,0.13,102.72,1.2
43540-3-16,21.8,,38.69,24.82,191.76,0.12,101.29,1.19
43540-3-16,21.9,,38.65,24.71,192.32,0.12,100.02,1.17
43540-3-16,22.0,,38.63,24.6,192.83,0.11,99.12,1.16
43540-3-16,22.1,,38.61,24.48,193.05,0.12,98.42,1.14
43540-3-16,22.2,,38.58,24.36,193.22,0.13,97.82,1.13
43540-3-16,22.3,,38.56,24.25,194.15,0.11,97.59,1.12
43540-3-16,22.4,,38.54,24.15,195.09,0.1,98.15,1.1
43540-3-16,22.5,,38.52,24.06,195.93,0.1,99.09,1.08
43540-3-16,22.6,,38.48,23.96,196.93,0.1,100.23,1.07
43540-3-16,22.7,,38.44,23.86,198.07,0.11,101.58,1.05
43540-3-16,22.8,,38.4,23.77,198.92,0.1,103.3,1.04
43540-3-16,22.9,,38.36,23.68,200.39,0.1,105.41,1.03
43540-3-16,23.0,,38.33,23.58,202.35,0.1,107.97,1.01
43540-3-16,23.1,,38.31,23.47,204.23,0.11,110.82,0.98
43540-3-16,23.2,,38.27,23.37,206.43,0.11,113.98,0.96
43540-3-16,23.3,,38.24,23.28,208.82,0.09,117.39,0.95
43540-3-16,23.4,,38.2,23.19,211.11,0.1,120.96,0.94
43540-3-16,23.5,,38.15,23.1,212.99,0.1,124.3,0.92
43540-3-16,23.6,,38.1,23.02,215.23,0.1,127.3,0.89
43540-3-16,23.7,,38.04,22.94,217.64,0.1,130.29,0.87
43540-3-16,23.8,,37.98,22.87,219.79,0.09,133.28,0.86
43540-3-16,23.9,,37.92,22.8,222.63,0.09,136.08,0.85
43540-3-16,24.0,,37.86,22.75,225.72,0.08,138.9,0.83
43540-3-16,24.1,,37.78,22.7,228.39,0.09,141.62,0.82
43540-3-16,24.2,,37.71,22.65,230.71,0.08,144.1,0.8
43540-3-16,24.3,,37.65,22.62,233.27,0.08,146.32,0.79
43540-3-16,24.4,,37.58,22.58,236.03,0.08,148.34,0.77
43540-3-16,24.5,,37.51,22.55,238.82,0.08,150.57,0.75
43540-3-16,24.6,,37.43,22.52,241.69,0.08,153.02,0.74
43540-3-16,24.7,,37.36,22.49,244.23,0.08,155.68,0.72
43540-3-16,24.8,,37.3,22.46,247.03,0.08,158.27,0.7
43540-3-16,24.9,,37.23,22.42,249.59,0.07,160.62,0.67
43540-3-16,25.0,,37.17,22.39,252.32,0.07,162.67,0.65
43540-3-16,25.1,,37.12,22.37,254.68,0.06,164.44,0.62
43540-3-16,25.2,,37.06,22.34,257.26,0.06,165.75,0.59
43540-3-16,25.3,,37.0,22.33,260.04,0.06,166.45,0.57
43540-3-16,25.4,,36.94,22.32,262.25,0.06,166.55,0.54
43540-3-16,25.5,,36.88,22.31,264.22,0.06,166.21,0.51
43540-3-16,25.6,,36.82,22.31,266.35,0.06,165.31,0.48
43540-3-16,25.7,,36.77,22.31,268.86,0.06,163.65,0.44
43540-3-16,25.8,,36.72,22.33,271.75,0.05,161.31,0.41
43540-3-16,25.9,,36.68,22.34,274.18,0.05,158.29,0.38
43540-3-16,26.0,,36.64,22.36,276.79,0.04,154.87,0.35
43540-3-16,26.1,,36.61,22.38,279.33,0.04,151.28,0.31
43540-3-16,26.2,,36.57,22.4,282.28,0.04,147.56,0.29
43540-3-16,26.3,,36.54,22.42,284.26,0.04,143.75,0.26
43540-3-16,26.4,,36.52,22.43,286.31,0.02,140.05,0.23
43540-3-16,26.5,,36.51,22.44,288.38,0.01,136.62,0.21
43540-3-16,26.6,,36.5,22.45,290.12,0.01,133.47,0.18
43540-3-16,26.7,,36.49,22.45,290.02,0.0,130.53,0.16
43540-3-16,26.8,,36.5,22.44,288.33,0.0,127.9,0.14
43540-3-16,26.9,,36.5,22.44,285.73,0.01,125.55,0.12
43540-3-16,27.0,,36.5,22.43,282.2,0.01,123.51,0.1
43540-3-16,27.1,,36.49,22.44,278.37,0.01,121.95,0.08
43540-3-16,27.2,,36.48,22.43,272.72,0.01,120.83,0.07
43540-3-16,27.3,,36.48,22.43,266.96,0.01,120.08,0.06
43540-3-16,27.4,,36.47,22.43,264.0,0.01,119.72,0.06
43540-3-16,27.5,,36.46,22.43,260.34,0.01,119.73,0.05
43540-3-16,27.6,,36.45,22.42,260.23,0.01,119.97,0.05
43540-3-16,27.7,,36.44,22.42,262.81,0.01,120.39,0.05
43540-3-16,27.8,,36.44,22.42,265.71,0.01,120.95,0.06
43540-3-16,27.9,,36.43,22.42,268.41,0.01,121.64,0.06
43540-3-16,28.0,,36.42,22.42,266.41,0.01,122.44,0.06
43540-3-16,28.1,,36.42,22.42,267.24,0.01,123.31,0.06
43540-3-16,28.2,,36.41,22.43,270.3,0.01,124.24,0.06
43540-3-16,28.3,,36.41,22.43,270.58,0.0,125.17,0.06
43540-3-16,28.4,,36.41,22.43,269.08,0.0,126.07,0.06
43540-3-16,28.5,,36.4,22.43,266.57,0.0,126.94,0.07
43540-3-16,28.6,,36.4,22.43,261.18,0.0,127.78,0.13
43540-3-16,28.7,,36.4,22.43,258.66,0.0,128.61,0.24
43540-3-16,28.8,,36.39,22.43,258.55,0.0,129.46,0.35
43540-3-16,28.9,,36.39,22.43,259.2,0.01,130.46,0.42
43540-3-16,29.0,,36.38,22.43,261.18,0.01,132.4,0.45
43540-3-16,29.1,,36.37,22.43,263.82,0.01,136.07,0.46
43540-3-16,29.2,,36.37,22.43,266.28,0.01,141.15,0.47
43540-3-16,29.3,,36.36,22.42,268.55,0.01,147.18,0.49
43540-3-16,29.4,,36.33,22.42,270.84,0.03,154.03,0.52
43540-3-16,29.5,,36.22,22.39,273.37,0.11,161.64,0.55
43540-3-17,0.0,huddle_start_offense,34.6,22.88,339.46,0.01,272.5,0.07
43540-3-17,0.1,,34.62,22.87,341.92,0.02,275.58,0.08
43540-3-17,0.2,,34.63,22.88,348.13,0.02,278.65,0.07
43540-3-17,0.3,,34.64,22.89,354.1,0.01,281.6,0.06
43540-3-17,0.4,,34.64,22.9,4.72,0.01,284.24,0.06
43540-3-17,0.5,,34.65,22.92,21.38,0.02,286.45,0.06
43540-3-17,0.6,,34.66,22.93,35.99,0.02,288.08,0.07
43540-3-17,0.7,,34.67,22.96,53.93,0.02,289.05,0.07
43540-3-17,0.8,,34.65,22.99,47.59,0.03,289.48,0.06
43540-3-17,0.9,,34.62,23.01,32.75,0.04,289.38,0.05
43540-3-17,1.0,,34.61,23.02,0.37,0.01,288.67,0.04
43540-3-17,1.1,,34.62,23.01,341.9,0.01,287.46,0.03
43540-3-17,1.2,,34.62,23.0,333.52,0.01,286.3,0.02
43540-3-17,1.3,,34.63,22.99,129.72,0.01,285.44,0.02
43540-3-17,1.4,,34.65,22.99,145.51,0.02,284.9,0.03
43540-3-17,1.5,,34.67,22.97,141.32,0.02,284.53,0.06
43540-3-17,1.6,,34.69,22.95,140.35,0.03,284.28,0.08
43540-3-17,1.7,,34.67,22.95,139.88,0.03,283.9,0.1
43540-3-17,1.8,,34.64,22.95,135.7,0.02,283.5,0.12
43540-3-17,1.9,,34.62,22.95,149.52,0.03,283.45,0.1
43540-3-17,2.0,,34.62,22.93,171.41,0.01,283.66,0.07
43540-3-17,2.1,,34.62,22.92,191.0,0.01,283.94,0.06
43540-3-17,2.2,,34.65,22.9,200.11,0.03,284.2,0.06
43540-3-17,2.3,,34.69,22.87,213.61,0.05,284.47,0.07
43540-3-17,2.4,,34.73,22.85,212.77,0.04,284.18,0.08
43540-3-17,2.5,,34.76,22.85,205.56,0.03,283.15,0.06
43540-3-17,2.6,,34.76,22.85,154.0,0.01,281.44,0.06
43540-3-17,2.7,,34.77,22.85,125.0,0.01,279.36,0.06
43540-3-17,2.8,,34.71,22.86,112.2,0.06,276.85,0.07
43540-3-17,2.9,,34.64,22.88,100.44,0.07,274.39,0.08
43540-3-17,3.0,,34.6,22.89,87.52,0.04,272.15,0.08
43540-3-17,3.1,,34.59,22.89,66.85,0.01,269.79,0.08
43540-3-17,3.2,,34.58,22.89,45.55,0.02,267.29,0.09
43540-3-17,3.3,,34.59,22.86,32.34,0.03,264.75,0.1
